sd_w_in,sd_w_ex,N 1,N 2,time1,time2
0.17,0.19,0,585.5,390000,"2,00E+08"
0.17,0.21,0,610,130000,"2,00E+08"
0.19,0.01,521.5,519.5,"2,00E+08","2,00E+08"
0.19,0.03,497.5,413,"2,00E+08","2,00E+08"
0.19,0.05,481,379,"2,00E+08","2,00E+08"
0.19,0.07,415.5,248.5,"2,00E+08","2,00E+08"
0.19,0.09,383.5,385.5,"2,00E+08","2,00E+08"
0.19,0.11,390,318.5,"2,00E+08","2,00E+08"
0.19,0.13,395.5,213.5,"2,00E+08","2,00E+08"
0.19,0.15,365.5,212.5,"2,00E+08","2,00E+08"
0.19,0.17,453.5,135.5,"2,00E+08","2,00E+08"
0.19,0.19,493,77,"2,00E+08","2,00E+08"
0.19,0.21,543,0,"2,00E+08",510000
0.21,0.01,557,437,"2,00E+08","2,00E+08"
0.21,0.03,449,396.5,"2,00E+08","2,00E+08"
0.21,0.05,486.5,372,"2,00E+08","2,00E+08"
0.21,0.07,392.5,317.5,"2,00E+08","2,00E+08"
0.21,0.09,362,331,"2,00E+08","2,00E+08"
0.21,0.11,347.5,294.5,"2,00E+08","2,00E+08"
0.21,0.13,357.5,284,"2,00E+08","2,00E+08"
0.21,0.15,383,221.5,"2,00E+08","2,00E+08"
0.21,0.17,473.5,159.5,"2,00E+08","2,00E+08"
0.21,0.19,360.5,165.5,"2,00E+08","2,00E+08"
0.21,0.21,264.5,240,"2,00E+08","2,00E+08"
