sd_m_2,d12,N 1,N 2,time1,time2
0.19,0.0019,1853.25,0,"2,00E+08",85000
0.19,0.0021,1890.5,0,"2,00E+08",80000
0.21,"1,00E-04",389.75,1195.75,"2,00E+08","2,00E+08"
0.21,"3,00E-04",604,1117.5,"2,00E+08","2,00E+08"
0.21,"5,00E-04",776.75,968.75,"2,00E+08","2,00E+08"
0.21,"7,00E-04",1361.25,422.5,"2,00E+08","2,00E+08"
0.21,"9,00E-04",1857.75,0,"2,00E+08",380000
0.21,0.0011,1770.5,0,"2,00E+08",185000
0.21,0.0013,1827.25,0,"2,00E+08",135000
0.21,0.0015,1840.75,0,"2,00E+08",110000
0.21,0.0017,1815.75,0,"2,00E+08",95000
0.21,0.0019,1799.25,0,"2,00E+08",90000
0.21,0.0021,1882.5,0,"2,00E+08",75000
0.06,"1,00E-04",0,1786,"3,00E+05","2,00E+08"
0.06,"2,00E-04",0,1786.75,425000,"2,00E+08"
0.06,"3,00E-04",0,1760.5,315000,"2,00E+08"
0.06,"4,00E-04",0,1791.5,455000,"2,00E+08"
0.06,"5,00E-04",0,1758.75,530000,"2,00E+08"
0.06,"6,00E-04",0,1725.5,505000,"2,00E+08"
0.06,"7,00E-04",0,1818,575000,"2,00E+08"
0.06,"8,00E-04",0,1760,1295000,"2,00E+08"
0.06,"9,00E-04",15.75,1816.25,50690000,"2,00E+08"
0.06,0.001,306.5,1497,100435000,"2,00E+08"
0.06,0.0011,1775,18.25,"2,00E+08",51090000
0.07,"1,00E-04",0,1772.75,255000,"2,00E+08"
0.07,"2,00E-04",0,1814,295000,"2,00E+08"
0.07,"3,00E-04",0,1757.75,255000,"2,00E+08"
0.07,"4,00E-04",0,1728.25,305000,"2,00E+08"
0.07,"5,00E-04",0,1790,585000,"2,00E+08"
0.07,"6,00E-04",0,1782.25,635000,"2,00E+08"
0.07,"7,00E-04",0,1734.75,475000,"2,00E+08"
0.07,"8,00E-04",0,1738.75,835000,"2,00E+08"
0.07,"9,00E-04",30,1720.5,50835000,"2,00E+08"
0.07,0.001,299.5,1487,150495000,"2,00E+08"
0.07,0.0011,1823.75,0,"2,00E+08",1190000
0.08,"1,00E-04",0,1710.75,385000,"2,00E+08"
0.08,"2,00E-04",0,1760.75,495000,"2,00E+08"
0.08,"3,00E-04",0,1793.75,335000,"2,00E+08"
0.08,"4,00E-04",0,1737,"4,00E+05","2,00E+08"
0.08,"5,00E-04",0,1706.75,485000,"2,00E+08"
0.08,"6,00E-04",0,1749.25,715000,"2,00E+08"
0.08,"7,00E-04",0,1748.75,930000,"2,00E+08"
0.08,"8,00E-04",0,1752.25,890000,"2,00E+08"
0.08,"9,00E-04",89,1636.75,150280000,"2,00E+08"
0.08,0.001,333.75,1469.75,"2,00E+08","2,00E+08"
0.08,0.0011,1835.5,0,"2,00E+08",1215000
0.09,"1,00E-04",0,1715,280000,"2,00E+08"
0.09,"2,00E-04",0,1690,415000,"2,00E+08"
0.09,"3,00E-04",0,1645,560000,"2,00E+08"
0.09,"4,00E-04",0,1695,505000,"2,00E+08"
0.09,"5,00E-04",0,1706.25,560000,"2,00E+08"
0.09,"6,00E-04",26.5,1640,50605000,"2,00E+08"
0.09,"7,00E-04",0,1683,960000,"2,00E+08"
0.09,"8,00E-04",3.5,1712.5,50955000,"2,00E+08"
0.09,"9,00E-04",145.25,1608.75,150410000,"2,00E+08"
0.09,0.001,836.25,906.75,"2,00E+08","2,00E+08"
0.09,0.0011,1819,0,"2,00E+08",920000
0.1,"1,00E-04",0,1630.75,505000,"2,00E+08"
0.1,"2,00E-04",0,1732,515000,"2,00E+08"
0.1,"3,00E-04",0,1718.5,620000,"2,00E+08"
0.1,"4,00E-04",0,1676.75,790000,"2,00E+08"
0.1,"5,00E-04",0,1726.5,665000,"2,00E+08"
0.1,"6,00E-04",0,1655.25,"7,00E+05","2,00E+08"
0.1,"7,00E-04",16,1706,51025000,"2,00E+08"
