sd_m_2,d12,N 1,N 2,time1,time2
0.017,"1,00E-05",0,1804.5,495000,"2,00E+08"
0.017,"7,00E-05",0,1796.25,610000,"2,00E+08"
0.09,"7,00E-04",0,1653,940000,"2,00E+08"
0.09,0.00075,13.75,1766.5,50735000,"2,00E+08"
0.09,"8,00E-04",0,1661,1260000,"2,00E+08"
0.09,0.00085,61.25,1632,100470000,"2,00E+08"
0.09,"9,00E-04",85.25,1640.5,100890000,"2,00E+08"
0.09,0.00095,121,1618,150350000,"2,00E+08"
0.09,0.001,965.75,835.5,"2,00E+08","2,00E+08"
0.09,0.00105,1868,10,"2,00E+08",5.1e+07
0.09,0.0011,1850.5,0,"2,00E+08",845000
0.095,"7,00E-04",0,1690,1440000,"2,00E+08"
0.095,0.00075,1.75,1688,50640000,"2,00E+08"
0.095,"8,00E-04",19.25,1699.5,50825000,"2,00E+08"
0.095,0.00085,38.75,1632.5,150480000,"2,00E+08"
0.095,"9,00E-04",85,1636.5,100650000,"2,00E+08"
0.095,0.00095,449.25,1311.25,"2,00E+08","2,00E+08"
0.095,0.001,1065.5,730.75,"2,00E+08","2,00E+08"
0.095,0.00105,1670.25,136,"2,00E+08",50980000
0.095,0.0011,1868.5,0,"2,00E+08",810000
0.1,"7,00E-04",53.5,1666.25,100590000,"2,00E+08"
0.1,0.00075,34,1714.75,100390000,"2,00E+08"
0.1,"8,00E-04",175.75,1525.75,150435000,"2,00E+08"
0.1,0.00085,144,1532.75,"2,00E+08","2,00E+08"
0.1,"9,00E-04",390.25,1319.5,"2,00E+08","2,00E+08"
0.1,0.00095,500.75,1303.75,"2,00E+08","2,00E+08"
0.1,0.001,1556,312.5,"2,00E+08",150375000
0.1,0.00105,1845.25,0,"2,00E+08",1205000
0.1,0.0011,1852,0,"2,00E+08","8,00E+05"
0.017,"1,00E-05",0,1768.5,425000,"2,00E+08"
0.017,"7,00E-05",0,1777,410000,"2,00E+08"
0.017,0.00013,0,1781.5,565000,"2,00E+08"
0.017,0.00019,0,1732.75,620000,"2,00E+08"
0.017,0.00025,0,1869.5,865000,"2,00E+08"
0.017,0.00031,0,1807.25,915000,"2,00E+08"
0.017,0.00037,6.75,1779.25,50895000,"2,00E+08"
0.017,0.00043,39.75,1791.75,150340000,"2,00E+08"
0.017,0.00049,38.25,1789.25,100780000,"2,00E+08"
0.017,0.00055,182.5,1605.5,150490000,"2,00E+08"
0.017,0.00061,278.25,1607,"2,00E+08","2,00E+08"
0.019,"1,00E-05",0,1831.5,465000,"2,00E+08"
0.019,"7,00E-05",0,1746.5,405000,"2,00E+08"
0.019,0.00013,0,1789.25,555000,"2,00E+08"
0.019,0.00019,0,1808.75,605000,"2,00E+08"
0.019,0.00025,0,1819.5,560000,"2,00E+08"
0.019,0.00031,0,1740.75,730000,"2,00E+08"
0.019,0.00037,0,1785.5,725000,"2,00E+08"
0.019,0.00043,10.25,1792,50985000,"2,00E+08"
0.019,0.00049,0,1828.75,1420000,"2,00E+08"
0.019,0.00055,0,1765.25,1150000,"2,00E+08"
0.019,0.00061,195,1668.5,"2,00E+08","2,00E+08"
0.021,"1,00E-05",0,1808.75,525000,"2,00E+08"
0.021,"7,00E-05",0,1807.25,"5,00E+05","2,00E+08"
0.021,0.00013,0,1823,545000,"2,00E+08"
0.021,0.00019,0,1835.75,680000,"2,00E+08"
0.021,0.00025,0,1898.25,490000,"2,00E+08"
0.021,0.00031,0,1859.75,625000,"2,00E+08"
0.021,0.00037,0,1843.5,920000,"2,00E+08"
0.021,0.00043,0,1826,620000,"2,00E+08"
0.021,0.00049,0,1789.5,845000,"2,00E+08"
0.021,0.00055,0,1806,585000,"2,00E+08"
0.021,0.00061,6,1862.25,50980000,"2,00E+08"
